"id","year","state_name","state_code","mode_of_transport","offenders","victims"
93,"2018","Chhattisgarh","22","Suv/Station Wagon/Etc.",42.0,105.0
94,"2018","Chhattisgarh","22","Three Wheeler/Auto Rickshaw",39.0,42.0
95,"2018","Chhattisgarh","22","Tractor",81.0,176.0
96,"2018","Chhattisgarh","22","Truck/Lorry",373.0,537.0
97,"2018","Chhattisgarh","22","Two Wheeler",1029.0,701.0
98,"2018","Delhi","7","Animal Drawn Vehicle",0.0,3.0
99,"2018","Delhi","7","Bicycle",0.0,19.0
100,"2018","Delhi","7","Bus",28.0,81.0
101,"2018","Delhi","7","Car",163.0,279.0
102,"2018","Delhi","7","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,1.0
103,"2018","Delhi","7","Jeep",2.0,7.0
104,"2018","Delhi","7","Other Motor Vehicles",17.0,75.0
105,"2018","Delhi","7","Others",14.0,71.0
106,"2018","Delhi","7","Pedestrian",11.0,54.0
107,"2018","Delhi","7","Suv/Station Wagon/Etc.",9.0,31.0
108,"2018","Delhi","7","Three Wheeler/Auto Rickshaw",21.0,73.0
109,"2018","Delhi","7","Tractor",1.0,4.0
110,"2018","Delhi","7","Truck/Lorry",68.0,204.0
111,"2018","Delhi","7","Two Wheeler",132.0,366.0
112,"2018","Goa","30","Animal Drawn Vehicle",0.0,0.0
113,"2018","Goa","30","Bicycle",0.0,3.0
114,"2018","Goa","30","Bus",0.0,3.0
115,"2018","Goa","30","Car",7.0,17.0
116,"2018","Goa","30","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
117,"2018","Goa","30","Jeep",0.0,2.0
118,"2018","Goa","30","Other Motor Vehicles",0.0,0.0
119,"2018","Goa","30","Others",0.0,0.0
120,"2018","Goa","30","Pedestrian",4.0,32.0
121,"2018","Goa","30","Suv/Station Wagon/Etc.",1.0,2.0
122,"2018","Goa","30","Three Wheeler/Auto Rickshaw",0.0,0.0
123,"2018","Goa","30","Tractor",0.0,0.0
124,"2018","Goa","30","Truck/Lorry",3.0,6.0
125,"2018","Goa","30","Two Wheeler",91.0,93.0
126,"2018","Gujarat","24","Animal Drawn Vehicle",1.0,1.0
127,"2018","Gujarat","24","Bicycle",24.0,84.0
128,"2018","Gujarat","24","Bus",43.0,206.0
129,"2018","Gujarat","24","Car",301.0,940.0
130,"2018","Gujarat","24","Hand Drawn Vehicle/ Cycle Rickshaw",5.0,0.0
131,"2018","Gujarat","24","Jeep",79.0,242.0
132,"2018","Gujarat","24","Other Motor Vehicles",26.0,54.0
133,"2018","Gujarat","24","Others",10.0,41.0
134,"2018","Gujarat","24","Pedestrian",7.0,660.0
135,"2018","Gujarat","24","Suv/Station Wagon/Etc.",67.0,326.0
136,"2018","Gujarat","24","Three Wheeler/Auto Rickshaw",119.0,405.0
137,"2018","Gujarat","24","Tractor",24.0,99.0
138,"2018","Gujarat","24","Truck/Lorry",312.0,1009.0
139,"2018","Gujarat","24","Two Wheeler",881.0,2074.0
140,"2018","Haryana","6","Animal Drawn Vehicle",2.0,24.0
141,"2018","Haryana","6","Bicycle",11.0,60.0
142,"2018","Haryana","6","Bus",15.0,165.0
143,"2018","Haryana","6","Car",134.0,823.0
144,"2018","Haryana","6","Hand Drawn Vehicle/ Cycle Rickshaw",2.0,7.0
145,"2018","Haryana","6","Jeep",11.0,99.0
146,"2018","Haryana","6","Other Motor Vehicles",52.0,132.0
147,"2018","Haryana","6","Others",88.0,168.0
148,"2018","Haryana","6","Pedestrian",46.0,640.0
149,"2018","Haryana","6","Suv/Station Wagon/Etc.",18.0,227.0
150,"2018","Haryana","6","Three Wheeler/Auto Rickshaw",27.0,167.0
151,"2018","Haryana","6","Tractor",14.0,135.0
152,"2018","Haryana","6","Truck/Lorry",184.0,685.0
153,"2018","Haryana","6","Two Wheeler",432.0,1061.0
154,"2018","Himachal Pradesh","2","Animal Drawn Vehicle",0.0,1.0
155,"2018","Himachal Pradesh","2","Bicycle",2.0,5.0
156,"2018","Himachal Pradesh","2","Bus",14.0,92.0
157,"2018","Himachal Pradesh","2","Car",126.0,209.0
158,"2018","Himachal Pradesh","2","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,3.0
159,"2018","Himachal Pradesh","2","Jeep",37.0,72.0
160,"2018","Himachal Pradesh","2","Other Motor Vehicles",4.0,1.0
161,"2018","Himachal Pradesh","2","Others",1.0,3.0
162,"2018","Himachal Pradesh","2","Pedestrian",1.0,30.0
163,"2018","Himachal Pradesh","2","Suv/Station Wagon/Etc.",24.0,22.0
164,"2018","Himachal Pradesh","2","Three Wheeler/Auto Rickshaw",2.0,3.0
