"id","year","state_name","state_code","mode_of_transport","injured","died"
77,"2021","Chhattisgarh","22","Others",1602.0,585.0
78,"2021","Chhattisgarh","22","Pedestrian",900.0,430.0
79,"2021","Chhattisgarh","22","Suv / Car / Jeep / Etc.",1491.0,361.0
80,"2021","Chhattisgarh","22","Three Wheeler/Auto Rickshaw",117.0,205.0
81,"2021","Chhattisgarh","22","Tractor",192.0,175.0
82,"2021","Chhattisgarh","22","Truck/Lorry/Mini Truck",516.0,330.0
83,"2021","Chhattisgarh","22","Two Wheeler",4869.0,2795.0
84,"2021","Delhi","7","Animal Drawn Vehicle",4.0,0.0
85,"2021","Delhi","7","Bicycle",95.0,41.0
86,"2021","Delhi","7","Bus",98.0,30.0
87,"2021","Delhi","7","Hand Drawn Vehicle/ Cycle Rickshaw",24.0,0.0
88,"2021","Delhi","7","Other Motor Vehicles",123.0,56.0
89,"2021","Delhi","7","Others",252.0,98.0
90,"2021","Delhi","7","Pedestrian",277.0,84.0
91,"2021","Delhi","7","Suv / Car / Jeep / Etc.",1105.0,278.0
92,"2021","Delhi","7","Three Wheeler/Auto Rickshaw",252.0,121.0
93,"2021","Delhi","7","Tractor",17.0,7.0
94,"2021","Delhi","7","Truck/Lorry/Mini Truck",171.0,71.0
95,"2021","Delhi","7","Two Wheeler",1571.0,453.0
96,"2021","Goa","30","Animal Drawn Vehicle",0.0,0.0
97,"2021","Goa","30","Bicycle",11.0,6.0
98,"2021","Goa","30","Bus",30.0,0.0
99,"2021","Goa","30","Hand Drawn Vehicle/ Cycle Rickshaw",0.0,0.0
100,"2021","Goa","30","Other Motor Vehicles",0.0,0.0
101,"2021","Goa","30","Others",0.0,0.0
102,"2021","Goa","30","Pedestrian",53.0,34.0
103,"2021","Goa","30","Suv / Car / Jeep / Etc.",164.0,29.0
104,"2021","Goa","30","Three Wheeler/Auto Rickshaw",3.0,0.0
105,"2021","Goa","30","Tractor",0.0,0.0
106,"2021","Goa","30","Truck/Lorry/Mini Truck",19.0,6.0
107,"2021","Goa","30","Two Wheeler",576.0,151.0
108,"2021","Gujarat","24","Animal Drawn Vehicle",12.0,14.0
109,"2021","Gujarat","24","Bicycle",200.0,117.0
110,"2021","Gujarat","24","Bus",463.0,111.0
111,"2021","Gujarat","24","Hand Drawn Vehicle/ Cycle Rickshaw",3.0,2.0
112,"2021","Gujarat","24","Other Motor Vehicles",81.0,64.0
113,"2021","Gujarat","24","Others",0.0,5.0
114,"2021","Gujarat","24","Pedestrian",1431.0,1354.0
115,"2021","Gujarat","24","Suv / Car / Jeep / Etc.",2844.0,1113.0
116,"2021","Gujarat","24","Three Wheeler/Auto Rickshaw",1413.0,522.0
117,"2021","Gujarat","24","Tractor",118.0,86.0
118,"2021","Gujarat","24","Truck/Lorry/Mini Truck",902.0,534.0
119,"2021","Gujarat","24","Two Wheeler",6255.0,3535.0
120,"2021","Haryana","6","Animal Drawn Vehicle",8.0,0.0
121,"2021","Haryana","6","Bicycle",111.0,91.0
122,"2021","Haryana","6","Bus",160.0,65.0
123,"2021","Haryana","6","Hand Drawn Vehicle/ Cycle Rickshaw",17.0,10.0
124,"2021","Haryana","6","Other Motor Vehicles",827.0,376.0
125,"2021","Haryana","6","Others",0.0,0.0
126,"2021","Haryana","6","Pedestrian",1504.0,1107.0
127,"2021","Haryana","6","Suv / Car / Jeep / Etc.",1259.0,700.0
128,"2021","Haryana","6","Three Wheeler/Auto Rickshaw",249.0,126.0
129,"2021","Haryana","6","Tractor",347.0,217.0
130,"2021","Haryana","6","Truck/Lorry/Mini Truck",447.0,374.0
131,"2021","Haryana","6","Two Wheeler",3043.0,1917.0
132,"2021","Himachal Pradesh","2","Animal Drawn Vehicle",0.0,0.0
133,"2021","Himachal Pradesh","2","Bicycle",6.0,2.0
134,"2021","Himachal Pradesh","2","Bus",235.0,23.0
135,"2021","Himachal Pradesh","2","Hand Drawn Vehicle/ Cycle Rickshaw",1.0,0.0
136,"2021","Himachal Pradesh","2","Other Motor Vehicles",69.0,24.0
137,"2021","Himachal Pradesh","2","Others",0.0,0.0
138,"2021","Himachal Pradesh","2","Pedestrian",84.0,24.0
139,"2021","Himachal Pradesh","2","Suv / Car / Jeep / Etc.",1667.0,536.0
140,"2021","Himachal Pradesh","2","Three Wheeler/Auto Rickshaw",45.0,5.0
141,"2021","Himachal Pradesh","2","Tractor",50.0,34.0
142,"2021","Himachal Pradesh","2","Truck/Lorry/Mini Truck",222.0,123.0
143,"2021","Himachal Pradesh","2","Two Wheeler",1066.0,261.0
144,"2021","Jammu And Kashmir","1","Animal Drawn Vehicle",0.0,0.0
145,"2021","Jammu And Kashmir","1","Bicycle",37.0,3.0
146,"2021","Jammu And Kashmir","1","Bus",516.0,55.0
147,"2021","Jammu And Kashmir","1","Hand Drawn Vehicle/ Cycle Rickshaw",9.0,0.0
148,"2021","Jammu And Kashmir","1","Other Motor Vehicles",541.0,65.0
149,"2021","Jammu And Kashmir","1","Others",33.0,22.0
150,"2021","Jammu And Kashmir","1","Pedestrian",473.0,77.0
151,"2021","Jammu And Kashmir","1","Suv / Car / Jeep / Etc.",2567.0,264.0
152,"2021","Jammu And Kashmir","1","Three Wheeler/Auto Rickshaw",262.0,28.0
153,"2021","Jammu And Kashmir","1","Tractor",64.0,22.0
154,"2021","Jammu And Kashmir","1","Truck/Lorry/Mini Truck",398.0,73.0
155,"2021","Jammu And Kashmir","1","Two Wheeler",1956.0,195.0
156,"2021","Jharkhand","20","Animal Drawn Vehicle",7.0,19.0
157,"2021","Jharkhand","20","Bicycle",36.0,121.0
158,"2021","Jharkhand","20","Bus",63.0,76.0
159,"2021","Jharkhand","20","Hand Drawn Vehicle/ Cycle Rickshaw",67.0,59.0
160,"2021","Jharkhand","20","Other Motor Vehicles",69.0,36.0
161,"2021","Jharkhand","20","Others",24.0,44.0
162,"2021","Jharkhand","20","Pedestrian",228.0,273.0
163,"2021","Jharkhand","20","Suv / Car / Jeep / Etc.",510.0,494.0
164,"2021","Jharkhand","20","Three Wheeler/Auto Rickshaw",402.0,393.0
165,"2021","Jharkhand","20","Tractor",51.0,64.0
166,"2021","Jharkhand","20","Truck/Lorry/Mini Truck",199.0,335.0
167,"2021","Jharkhand","20","Two Wheeler",1571.0,1599.0
168,"2021","Karnataka","29","Animal Drawn Vehicle",29.0,5.0
169,"2021","Karnataka","29","Bicycle",277.0,70.0
170,"2021","Karnataka","29","Bus",1461.0,173.0
171,"2021","Karnataka","29","Hand Drawn Vehicle/ Cycle Rickshaw",5.0,0.0
172,"2021","Karnataka","29","Other Motor Vehicles",997.0,347.0
173,"2021","Karnataka","29","Others",1428.0,373.0
174,"2021","Karnataka","29","Pedestrian",4266.0,1631.0
175,"2021","Karnataka","29","Suv / Car / Jeep / Etc.",7955.0,1311.0
176,"2021","Karnataka","29","Three Wheeler/Auto Rickshaw",2378.0,334.0
177,"2021","Karnataka","29","Tractor",314.0,157.0
178,"2021","Karnataka","29","Truck/Lorry/Mini Truck",2238.0,616.0
179,"2021","Karnataka","29","Two Wheeler",19406.0,5021.0
180,"2021","Kerala","32","Animal Drawn Vehicle",1.0,5.0
181,"2021","Kerala","32","Bicycle",730.0,84.0
182,"2021","Kerala","32","Bus",870.0,79.0
183,"2021","Kerala","32","Hand Drawn Vehicle/ Cycle Rickshaw",2.0,0.0
184,"2021","Kerala","32","Other Motor Vehicles",782.0,82.0
185,"2021","Kerala","32","Others",190.0,12.0
186,"2021","Kerala","32","Pedestrian",4449.0,657.0
187,"2021","Kerala","32","Suv / Car / Jeep / Etc.",5115.0,323.0
188,"2021","Kerala","32","Three Wheeler/Auto Rickshaw",2555.0,188.0
189,"2021","Kerala","32","Tractor",4.0,2.0
190,"2021","Kerala","32","Truck/Lorry/Mini Truck",1001.0,186.0
191,"2021","Kerala","32","Two Wheeler",20815.0,1811.0
192,"2021","Ladakh","37","Animal Drawn Vehicle",0.0,0.0
193,"2021","Ladakh","37","Bicycle",0.0,0.0
194,"2021","Ladakh","37","Bus",60.0,7.0
